/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/pyo4PkQ5xkk_000038_000048.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/JEtrLh57l0k_000074_000084.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/en6hqGNWdMM_000086_000096.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/rDesEcNtKcM_000013_000023.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/89N_2H2fDkc_000211_000221.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/aql67o-V6PI_000028_000038.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/oBrp9T9qTmc_000208_000218.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/TqEDKjF4gRA_000190_000200.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/b4suR-LxDE8_000033_000043.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/kfCsZtslUNE_000038_000048.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/qPkTfe1WbSs_000000_000010.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/uvmSHNOgX6s_000138_000148.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/gHZvheYErU4_000074_000084.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/rqeM_x_mJsM_000018_000028.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/uEzZMJoEun0_000005_000015.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/HGyW0dC32rI_000011_000021.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/r-xPX0M32RQ_000106_000116.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/bS4fzIzix80_000160_000170.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/rubjaeGKy2U_000095_000105.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/FACbiGNFZDI_000319_000329.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/VKTepd5mJo4_000266_000276.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/_LBePrRxWC0_000000_000010.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/p3rkwWCsVH0_000016_000026.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/-axJLWTx9eo_000105_000115.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/olcFcR3M9Z4_000035_000045.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/36nGa8wbfeo_000046_000056.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/H-7t7Dmq2_U_000021_000031.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/Epq2Mon_3_4_000097_000107.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/ILNKlsm1d0c_000084_000094.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/sZfg_VY4kcM_000012_000022.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/TyGwnjbWoIM_000023_000033.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/VvJ3XUEKJfo_000000_000010.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/nKKntmT6FKk_000063_000073.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/ZnW7KlPGGFg_000087_000097.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/J9I_mkQKKrM_000094_000104.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/DFroso3YzFU_000002_000012.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/S0CLNvZ3ELw_000027_000037.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/2jXTSqwYQJo_000293_000303.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/FVSDtXSAf58_000026_000036.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/JkpLFBrYz1o_000000_000010.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/htzvjmrDDG0_000007_000017.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/Thuo1U6kiqc_000078_000088.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/TLBiJtaYCY8_000047_000057.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/zsy80-UhySM_000051_000061.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/meeOSbOwhXU_000291_000301.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/IlA03on0Z1U_000321_000331.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/A89ZdMVhIU0_000156_000166.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/doing jigsaw puzzle/FHz23W8kbHc_000051_000061.mp4, doing jigsaw puzzle
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/-qCYMzHkc2k_000007_000017.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/hGqVZcVWQ60_000320_000330.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/IEKfTk2SAaQ_000085_000095.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/3CsFr7Weots_000000_000010.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/mfdcSNJ0aBY_000082_000092.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/MqocJblivfA_000062_000072.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/bN-JT-kSCEI_000024_000034.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/W1z46lqiEt8_000000_000010.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/9u_AgS-TkEI_000027_000037.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/u5Q9Nrir4zQ_000021_000031.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/OeII6q8SaLc_000082_000092.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/1l6cEoNWn1A_000168_000178.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/aAyyyLjP5YE_000001_000011.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/c7E6dvJOiJQ_000063_000073.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/hcVd_I4qBF4_000548_000558.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/x1sLeZVg2z0_000178_000188.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/K-OWq0ELNP8_000360_000370.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/fzqTLC6YVWM_000126_000136.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/o5UJXExndIQ_000008_000018.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/9CobVhp4WhM_000066_000076.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/C3LzlpUuDcc_000007_000017.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/1EiHodiRTI8_000122_000132.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/3h7THefLt5k_000161_000171.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/c1mMx9dl8Cs_000171_000181.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/TlbQ0xbbpOQ_000149_000159.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/Zm3xwVcn5Ew_000000_000010.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/ndK37HKjhNk_001153_001163.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/8P6rHyKByx4_000106_000116.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/7dWFpTdJ3NM_000129_000139.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/zBV5YGnu6so_000003_000013.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/D-XVgWPcc7Y_000013_000023.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/zb1h0PdawWM_000287_000297.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/FcXxI038PVg_000154_000164.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/CIH3mcnK_Jc_000218_000228.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/OuhfI4x0Ayw_000007_000017.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/-giSKLNiewY_000041_000051.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/F9qo2G0QGww_000033_000043.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/8wOsPocBBR8_000006_000016.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/r9yGUojzxbc_000330_000340.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/NpzOQNuynvw_000017_000027.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/yn90fJOZAAE_000085_000095.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/AcEY4sHJwIg_000021_000031.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/h9KSHB063QY_000225_000235.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/zP8mUyEaVyQ_000127_000137.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/xA6GT-JsJNM_000504_000514.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/oyFqTl9kDoI_000017_000027.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/M7QyeppBKTQ_000059_000069.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/1EXXo5VUaTg_000001_000011.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/TNy9eVDSUmI_000271_000281.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/aBJy0si09G8_000018_000028.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/hY8MQ6yRJ_s_000299_000309.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/brarYuHRV30_000002_000012.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/rUCW7VxJd4M_000113_000123.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/jdor7u4a2bM_000124_000134.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/fDy6_wd0CeI_000022_000032.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/6W83gAiw9WI_000137_000147.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/HFoqCkGfAco_000072_000082.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/EO-ZqGMy9Ls_000230_000240.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/k6n4Je6ZcbU_000289_000299.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/ApruKggUSVo_000051_000061.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/b3eomHsEkU0_000000_000010.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/Yahh6LboeQI_000004_000014.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/F1psB7rAV3g_000144_000154.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/JtS3f6xY9xc_000197_000207.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/Aqv37asRJs0_000010_000020.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/x5ziPEFRo48_000509_000519.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/tAOsEKkaS58_000073_000083.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/xXGB3RCeyIw_000071_000081.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/_5d4ta_KA1A_000043_000053.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/kaSXitrLIAE_000004_000014.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/rF-lI03J9Vs_000328_000338.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/z-LUowAYtWk_000157_000167.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/2k1skBjxa9A_000496_000506.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/NgsEc70VAMQ_000264_000274.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/mmMjroJ0MgQ_000388_000398.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/z6DWMBle9tw_000039_000049.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/lrtUjfV4iqM_000025_000035.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/3_HBz_Z1oMQ_000002_000012.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/M3rAlGs_TnY_000006_000016.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/F3FDiFsxIsk_000024_000034.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/7JkJjEjZc_o_000045_000055.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/ZnlDysg3DXQ_000117_000127.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/xX_OMlSq0_U_000003_000013.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/zP6OUpn2igg_000049_000059.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/RS5WiksaGjE_000116_000126.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/Z5R16NsTATs_000032_000042.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/j7o2RSiK3F4_000019_000029.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/NESMXoMaOGA_000066_000076.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/5C3Gyqp-iUA_000184_000194.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/cI4FnZ1jzmY_000016_000026.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/KEgnlvn4WMw_000084_000094.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/VNk2lIkwhFU_000684_000694.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/MgApb7ktlpg_000009_000019.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/amwXVnq_YYA_000093_000103.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/FDGosmf-QuQ_000132_000142.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/VN93IiSlNCE_000018_000028.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/YDPo8tBW9A0_000021_000031.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/jnw-QLsb-AM_000012_000022.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/Dj4Ep30tGwk_000100_000110.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/paragliding/PGwv9ye1CGw_000079_000089.mp4, paragliding
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/DJmUZh2ehJs_000110_000120.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/Pptdtw7V8cg_000079_000089.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/QX4WN4_YNX4_000000_000010.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/DTjdGP_eaXY_000164_000174.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/Olyx1tbaVQQ_000402_000412.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/m2A_zJwQ3G8_000416_000426.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/B-ZliLpJhs0_000237_000247.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/M4sYpLSQsWs_000014_000024.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/CuwKXKYZufM_000013_000023.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/Sr3_BoiiODA_000152_000162.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/3pZ3JYGRpYo_000016_000026.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/w8RPrxyMkvo_000121_000131.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/Uj-2ySvf80Q_000046_000056.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/lHo-2bUyFMs_000006_000016.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/7p-dasIwjP0_000137_000147.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/BWIr_WSnLAo_000013_000023.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/yTlC823N6yg_000077_000087.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/1d4DYbyr7f4_000000_000010.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/Ks-0OVORy3E_000016_000026.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/EYXkDSuy1Og_000043_000053.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/LMyZEcDuBXo_000000_000010.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/fI5YqpTH3I8_000202_000212.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/izy9um4FqrY_000067_000077.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/LGAqmb6dVRw_000184_000194.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/wFi9IoM6zKg_000053_000063.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/8wID3JI7m78_000744_000754.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/XCSHldcegvU_000056_000066.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/PVzy2tETFVo_000050_000060.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/hYAFyS2ZCbw_000036_000046.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/SCYluYpd21A_000080_000090.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/WtXX_7222io_000302_000312.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/jX6IT-_qO6k_000231_000241.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/K-92GudOc5k_001065_001075.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/dKzJbN79SbU_000078_000088.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/PQvIuI8zyAQ_000154_000164.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/wBsi9crNDwk_000015_000025.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/VkcvQueR9j4_000269_000279.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/VW17d8N5-Ng_000141_000151.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/yJ31dKkqpaI_000023_000033.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/g4LkaGwlG8g_000060_000070.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/1EjV0N93XsI_000713_000723.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/YdpdhGFk8_c_000011_000021.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/XXl1NbQFwCE_000004_000014.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/TxMuigF5umM_000074_000084.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/lRjKoIGWVvo_000122_000132.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/NEMzYzC1evA_000014_000024.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/Um6KRXpQsyU_000005_000015.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/Of9vgwGJiik_000323_000333.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/2LL_oTM-rxU_000050_000060.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/IF0ScL8qelc_000002_000012.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/nCMOWIWiXNI_000000_000010.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/O4l1mFa3j4w_000007_000017.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/pn9SY4casd8_000000_000010.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/mJNPz174Uq4_000001_000011.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/8PqtFfL1UyY_000045_000055.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/0yNi-w6O1gM_000302_000312.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/Is6-qCaiDfk_000043_000053.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/mYycmIdyyf8_000000_000010.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/v9G9095FYfs_000845_000855.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/IVfhdHsprHU_000543_000553.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/ZWBBNZWCrwg_000244_000254.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/rVVgfiKOG2g_000034_000044.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/S76D3yr7K3E_000021_000031.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/dVwJtmG209U_000098_000108.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/2sZ-toFXrI8_000017_000027.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/-bjwUkET-88_000154_000164.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/OU0LCTVs8KI_000155_000165.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/0mXMSm3acNo_000023_000033.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/XKX_utF4Yng_000000_000010.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/2KOxpspDHVg_000065_000075.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/GUHdsSgTr-4_000064_000074.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/wjax8gKpLLg_000033_000043.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/lJWFZektTj8_000031_000041.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/jKWr4b1f1m4_000121_000131.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/QiV-oInK6To_000198_000208.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/K3hGL36i3QQ_000011_000021.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/xwZ7MNRi8Js_000006_000016.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/zdXc1C7X0Mo_000432_000442.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/Zq9jYRVSbuY_000024_000034.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/aIn3NiS5dZk_000368_000378.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/KTEkAGHN4bM_000053_000063.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/ggtzq1jBSgY_000135_000145.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/MiltUZjRFIo_000149_000159.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/z7bOl_uSjoc_000492_000502.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/zJ6OligmQLA_000000_000010.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/52G1KHasC4Y_000000_000010.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/YqfsbZLefDQ_000160_000170.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/u4rIDzMv48M_000263_000273.mp4, packing
/home/alec/Documents/SmallDatasets/KineticsSmall/packing/uxe4uxSAeyU_000018_000028.mp4, packing
